"TOA5","S2bog","CR1000","34019","CR1000.Std.19","CPU:2020.01.13_S2BogWell.CR1","14464","S2BWMet"
TIMESTAMP,RECORD,AirT,AirTBW,RH,RHBW,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,Deg C,%,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2020-01-06 20:30:00,4859,-5.1,-4.502,80.7,87.2,0.2025675,95.6,100.6,
2020-01-06 21:00:00,4860,-4.8,-4.412,81.1,89,0.2025636,95.7,100.7,
2020-01-06 21:30:00,4861,-4.5,-3.986,78.6,85.4,0.2025435,95.7,100.7,
2020-01-06 22:00:00,4862,-4.5,-4.098,82,89.3,0.20252,95.7,100.7,
2020-01-06 22:30:00,4863,-5.1,-4.878,85.5,93.2,0.2025046,95.7,100.7,
2020-01-06 23:00:00,4864,-5.5,-5.192,85.6,93,0.2025051,95.7,100.7,
2020-01-06 23:30:00,4865,-6.6,-6.358,86.4,94.6,0.2025072,95.8,100.7,
2020-01-07 00:00:00,4866,-7.1,-6.928,87.3,95.4,0.2025139,95.7,100.7,
2020-01-07 00:30:00,4867,-8.1,-7.76,91.4,99.3,0.1350271,95.8,100.8,
2020-01-07 01:00:00,4868,-8.1,-7.678,89.4,96.9,0.202574,95.8,100.7,
2020-01-07 01:30:00,4869,-8.8,-8.63,88.5,98.1,0.2701213,95.8,100.7,
2020-01-07 02:00:00,4870,-9.5,-9.02,92,99.6,0.202608,95.8,100.8,
2020-01-07 02:30:00,4871,-9,-8.61,89,95.2,0.2701662,95.8,100.8,
2020-01-07 03:00:00,4872,-9.3,-8.85,88.1,94,0.2701844,95.8,100.8,
2020-01-07 03:30:00,4873,-9.5,-9.22,86.6,93.5,0.2701992,95.8,100.8,
2020-01-07 04:00:00,4874,-10,-9.46,85.7,93.7,0.2702021,95.8,100.8,
2020-01-07 04:30:00,4875,-10.2,-9.73,84.8,92.8,0.2026481,95.8,100.8,
2020-01-07 05:00:00,4876,-10.5,-10.2,82.3,91.6,0.2026582,95.8,100.8,
2020-01-07 05:30:00,4877,-11.1,-10.72,81.9,90.6,0.2026752,95.9,100.9,
2020-01-07 06:00:00,4878,-9.9,-9.56,73.1,82.2,0.2026831,95.9,100.9,
2020-01-07 06:30:00,4879,-10,-9.67,69.3,80.3,0.2026963,95.9,100.9,
2020-01-07 07:00:00,4880,-10.5,-10.14,69.4,79.71,0.2026974,96,101,
2020-01-07 07:30:00,4881,-11,-10.66,72.2,82.3,0.2026908,96,101,
2020-01-07 08:00:00,4882,-11.4,-10.92,75.4,83.7,1.08104,96.1,101,
2020-01-07 08:30:00,4883,-12.6,-12.29,63.6,74.99,4.526592,96.1,101.1,
2020-01-07 09:00:00,4884,-13.3,-12.98,63.6,74.16,7.972429,96.2,101.2,
2020-01-07 09:30:00,4885,-13.6,-13.05,62.7,73.1,18.58258,96.2,101.2,
2020-01-07 10:00:00,4886,-13.4,-12.89,63.7,71.54,15.61138,96.2,101.2,
2020-01-07 10:30:00,4887,-13.3,-12.88,60.5,72.11,19.05885,96.3,101.3,
2020-01-07 11:00:00,4888,-13.2,-12.66,62.4,70.02,29.87322,96.3,101.3,
2020-01-07 11:30:00,4889,-13.1,-12.51,57.6,64.98,74.20956,96.3,101.3,
2020-01-07 12:00:00,4890,-13.1,-12.39,53.9,61.14,65.15217,96.4,101.3,
2020-01-07 12:30:00,4891,-13.4,-12.74,54.1,62.67,36.08239,96.4,101.3,
2020-01-07 13:00:00,4892,-13.3,-12.74,52.2,62.83,55.53822,96.4,101.3,
