"TIMESTAMP","RECORD","Fc_wpl","LE_wpl","Hs","Hc","tau","u_star","cov_Uz_Uz","cov_Uz_Ux","cov_Uz_Uy","cov_Uz_co2","cov_Uz_h2o","cov_Uz_Ts","cov_Ux_Ux","cov_Ux_Uy","cov_Ux_co2","cov_Ux_h2o","cov_Ux_Ts","cov_Uy_Uy","cov_Uy_co2","cov_Uy_h2o","cov_Uy_Ts","cov_co2_co2","cov_h2o_h2o","cov_Ts_Ts","Uz_Avg","Ux_Avg","Uy_Avg","co2_mean","h2o_Avg","Ts_mean","rho_a_mean","press_mean","panel_temp_Avg","wnd_dir_compass","wnd_dir_csat3","wnd_spd","rslt_wnd_spd","batt_volt_Avg","std_wnd_dir","n_Tot","csat_warnings","irga_warnings","del_T_f_Tot","sig_lck_f_Tot","amp_h_f_Tot","amp_l_f_Tot","chopper_f_Tot","detector_f_Tot","pll_f_Tot","sync_f_Tot","agc_Avg","Fc_irga","LE_irga","co2_wpl_LE","co2_wpl_H","h2o_wpl_LE","h2o_wpl_H","h2o_hmp_mean","t_hmp_mean","SWUpper_Avg","SWLower_Avg","LWUpper_Avg","LWLower_Avg","LWUpperCo_Avg","LWLowerCo_Avg","RsNet_Avg","RlNet_Avg","Rn_Avg","CNR4TC_Avg","Albedo_Avg","hfp01sc_1_Avg","hfp01sc_2_Avg","hfp01sc_3_Avg","hfp01sc_4_Avg","del_Tsoil(1)","del_Tsoil(2)","soil_water_T_Avg(1)","soil_water_T_Avg(2)","Tsoil_avg(1)","Tsoil_avg(2)","shf_cal(1)","shf_cal(2)","shf_cal(3)","shf_cal(4)","cs616_Avg(1)","cs616_Avg(2)","ch4_um_mol_Avg","press_7700_Avg","rssi_Avg"
"TS","RN","mg/(m^2 s)","W/m^2","W/m^2","W/m^2","kg/(m s^2)","m/s","(m/s)^2","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(m/s)^2","mg/(m^2 s)","g/(m^2 s)","m C/s","(mg/m^3)^2","(g/m^3)^2","C^2","m/s","m/s","m/s","mg/m^3","g/m^3","C","kg/m^3","kPa","C","degrees","degrees","m/s","m/s","V","degrees","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","samples","unitless","mg/(m^2 s)","W/m^2","mg/(m^2 s)","mg/(m^2 s)","W/m^2","W/m^2","g/m^3","C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","C","C","frac_v_wtr","frac_v_wtr","C","C","W/(m^2 mV)","W/(m^2 mV)","W/(m^2 mV)","W/(m^2 mV)","uSeconds","uSeconds","umol/mol","kPa",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Smp","Avg","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Smp","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Tot","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg"
"2022-07-14 16:00:00",5875,-0.2860582,175.7098,43.15553,32.12083,0.05731097,0.2252499,0.0768728,0.01224688,-0.04923727,-0.410332,0.06923821,0.03802808,0.3901589,0.02557412,-0.2132091,-0.01469339,0.03080981,0.9264339,0.6738369,-0.1836476,-0.01618904,15.69631,0.6147892,0.1104318,-0.01896596,-0.201631,0.9286315,631.7139,13.09734,25.32231,1.129558,96.86422,31.37838,217.7497,102.2503,1.26121,0.9502692,11.07262,40.21893,18000,0,0,0,0,0,0,0,0,0,0,94,-0.410332,168.9412,0.0630587,0.06121513,2.937436,3.831175,12.06019,24.01839,366.6,52.98,-69.1,-4.832,7999,7999,313.6,-64.27,249.4,759.8,0.145,5.664458,5.726897,3.550939,4.295888,0.02214813,0.01387978,1.053171,0.9850476,17.5505,18.01615,22.34266,19.7539,21.82175,20.1196,42.80315,42.03945,1.860966,95.9707,78.74554
"2022-07-14 16:30:00",5876,-0.125996,121.1528,15.88696,8.34997,0.02243937,0.1408506,0.04006128,0.007858747,-0.01821597,-0.185688,0.04814093,0.01398054,0.1381398,0.03337665,-0.3822118,-0.04146661,0.03197701,0.3789583,0.0938692,-0.2709815,0.02315931,22.86894,0.7887552,0.09099877,-0.02541679,-0.299376,0.5610805,631.0447,13.92032,24.99208,1.13108,96.86404,30.37034,201.917,118.083,0.810345,0.6359538,11.07454,37.57615,18000,0,0,0,0,0,0,0,0,0,0,94,-0.185688,117.4639,0.04377047,0.01592155,2.180093,1.508811,12.88143,23.48987,236.8,33.43,-59.76,-5.054,7999,7999,203.4,-54.71,148.7,759.7,0.141,5.776235,5.70662,3.570189,4.645636,0.01661682,-0.01106834,1.052301,0.9854665,17.56712,18.00508,22.34266,19.7539,21.82175,20.1196,42.80116,42.03893,1.864135,95.97062,78.93924
"2022-07-14 17:00:00",5877,0.1710937,87.22338,1.917797,-3.439925,0.008558885,0.08686753,0.01681443,0.003419091,-0.006726921,0.1456239,0.03497741,0.001682973,0.07664582,-0.001322973,-0.1773513,0.01988731,0.01138946,0.09008757,-0.4338711,-0.1188527,0.04426787,59.99496,0.8373529,0.1367345,-0.01691886,-0.2457123,0.1538612,638.6113,14.7821,24.24696,1.134233,96.8802,29.13819,172.0542,147.9458,0.4024363,0.28991,11.06887,42.83151,18000,0,0,0,0,0,0,0,0,0,0,93.9945,0.1456239,85.34488,0.03211698,-0.006647238,1.684168,0.1943325,13.72453,22.5869,139.7,19.8,-51.78,-4.818,7999,7999,119.9,-46.96,72.91,760.6,0.142,5.918468,5.699943,3.635828,5.025682,0.02866936,-0.007701874,1.0509,0.985761,17.59579,17.99738,22.34266,19.7539,21.82175,20.1196,42.79927,42.03865,1.88058,95.9865,78.70856
"2022-07-14 17:30:00",5878,0.1006132,23.53972,9.95828,8.455798,0.0007888221,0.02634441,0.00599186,0.0005427231,0.0004325808,0.07583198,0.009035001,0.008720847,0.0239844,8.573512E-05,0.3314328,0.02705591,0.01059467,0.01928318,0.2430748,0.02025254,0.004653296,99.97715,0.2528135,0.05109796,-0.003675042,-0.2809103,-0.05986473,642.2989,15.30471,23.78541,1.136586,96.86479,27.87734,127.9697,-167.9697,0.3195806,0.2872184,11.07346,25.77593,18000,0,0,0,0,0,0,0,0,0,0,94,0.07583198,22.0454,0.008330059,0.01645112,0.4493082,1.045012,14.19854,21.85753,153.2,23.28,-48.24,-2.549,7999,7999,130,-45.69,84.3,763,0.152,6.082088,5.70841,3.750383,5.432131,0.02299309,-0.01444817,1.049737,0.986203,17.61878,17.98293,22.34266,19.7539,21.82175,20.1196,42.79715,42.03644,1.881338,95.9705,78.58746
"2022-07-14 18:00:00",5879,0.1027982,33.27435,4.941237,2.877317,0.0017676,0.03945493,0.007770638,0.0010367,-0.001161268,0.08536562,0.01314214,0.004331426,0.02604704,-0.009912147,-0.1045368,-0.002728919,0.009621477,0.03093609,0.07455598,-0.01785242,0.007788418,114.8552,0.290588,0.05399376,-0.008642542,-0.1541386,-0.02053624,631.2121,15.748,23.78893,1.135485,96.81139,26.93652,132.411,-172.411,0.2463027,0.1555006,11.07238,49.18111,18000,0,0,0,0,0,0,0,0,0,0,94,0.08536562,32.06681,0.01192364,0.00550892,0.6733124,0.5342224,14.60808,21.9141,122.7,18.5,-50.85,-3.027,7999,7999,104.2,-47.82,56.42,763.3,0.151,6.270329,5.732788,3.912025,5.854184,0.01893616,-0.02146339,1.048732,0.986923,17.63771,17.96146,22.34266,19.7539,21.82175,20.1196,42.79464,42.03395,1.898732,95.91607,78.83665
"2022-07-14 18:30:00",5880,0.1260279,11.76591,7.388209,6.623248,0.001645352,0.03802081,0.002894447,0.001061477,-0.0009813124,0.1088427,0.004401799,0.006461,0.02015009,0.003802225,0.105043,0.0197752,0.004983135,0.01158557,0.1930043,0.008025183,-0.01124887,297.6826,0.1684941,0.07223222,-0.002882,-0.2120794,-0.01424742,650.9023,15.85795,23.12838,1.138193,96.80738,26.11851,136.1566,-176.1566,0.2412485,0.2125574,11.07331,27.93353,18000,0,0,0,0,0,0,0,0,0,0,93.93728,0.1088427,10.74039,0.004108423,0.01307675,0.2253636,0.8001596,14.63304,21.20134,77.56,11.68,-42.36,-2.594,7999,7999,65.88,-39.77,26.12,764.7,0.15,6.476934,5.770526,4.110243,6.275555,0.04328537,0.06978416,1.046666,0.9840004,17.681,18.03125,22.34266,19.7539,21.82175,20.1196,42.79245,42.03237,1.930196,95.91164,78.48932
"2022-07-14 19:00:00",5881,0.3061954,6.078331,2.548934,2.161214,0.003950781,0.05884431,0.005191136,0.003310207,-0.001016119,0.2995986,0.002328234,0.002223623,0.02710411,7.183447E-05,0.2413409,-0.02596966,0.008687124,0.03655532,0.02598912,0.01999655,0.008496179,630.7021,0.210575,0.03719893,-0.009929778,-0.1556497,0.001332514,667.162,15.86737,22.59107,1.140969,96.7911,25.18141,140.4905,179.5095,0.2600175,0.1556554,11.06735,51.31629,18000,0,0,0,0,0,0,0,0,0,0,94,0.2995986,5.680891,0.002222028,0.004374819,0.1196371,0.277803,14.72169,20.42753,35.23,5.665,-31.25,-1.409,7999,7999,29.57,-29.84,-0.266,766.4,0.163,6.694156,5.821168,4.341243,6.692375,0.03856087,0.0255661,1.044818,0.9828627,17.71956,18.05681,22.34266,19.7539,21.82175,20.1196,42.79036,42.03073,1.93953,95.89513,78.19374
"2022-07-14 19:30:00",5882,0.256299,14.35876,-7.285008,-8.101555,0.02307701,0.1421677,0.03068468,0.005371682,-0.01948478,0.2669554,0.006073064,-0.00635081,0.1398677,-0.01192673,-2.089213,-0.0307324,0.02887589,0.2877519,-4.146483,-0.08067207,0.08551838,875.6749,0.1577454,0.1552423,-0.0299762,-0.08791949,0.2642431,671.3918,15.13019,22.56688,1.141767,96.7918,24.28725,211.5966,108.4034,0.5556638,0.2784857,11.07339,57.20822,18000,0,0,0,0,0,0,0,0,0,0,93.99966,0.2669554,14.81828,0.005825212,-0.01648164,0.2975788,-0.7570983,14.05648,20.3298,19.21,3.711,-26.44,-0.956,7999,7999,15.5,-25.48,-9.99,767.4,0.194,6.919082,5.88477,4.607056,7.093989,0.03033447,0.01530075,1.04334,0.9821436,17.7499,18.07211,22.34266,19.7539,21.82175,20.1196,42.78832,42.02922,1.927144,95.89567,78.82841
"2022-07-14 20:00:00",5883,0.7826592,28.71235,-14.05174,-15.68582,0.01450355,0.112692,0.06212033,0.01171344,-0.004906376,0.8030141,0.01211377,-0.01224669,0.1852708,0.01692333,-2.700828,-0.02408033,0.01458521,0.3349681,-3.590595,-0.03863036,0.03380299,734.6543,0.09603903,0.07621945,-0.05335395,-0.08982984,0.5609175,673.4338,14.74842,22.42469,1.142057,96.73996,23.35551,220.9015,99.09854,0.7636822,0.568065,11.07111,40.99513,18000,0,0,0,0,0,0,0,0,0,0,93.99966,0.8030141,29.5576,0.0116481,-0.03200302,0.5784329,-1.423677,13.70575,20.15325,9.02,2.794,-30.98,-1.917,7999,7999,6.223,-29.07,-22.84,767.2,0.331,7.146698,5.961222,4.890954,7.474464,0.02135658,-0.03112221,1.042262,0.9832495,17.77125,18.04099,22.34266,19.7539,21.82175,20.1196,42.78629,42.02655,1.909129,95.84329,78.88759
"2022-07-14 20:30:00",5884,0.1737643,9.599208,-10.54162,-11.0467,0.009629958,0.09180687,0.05510915,0.004733913,0.006973498,0.1922489,0.004284424,-0.00918353,0.1930142,-0.04028563,-1.370934,-0.009689565,0.009516697,0.3036361,-3.194304,-0.02459063,0.01446001,946.1506,0.05087689,0.07314482,-0.01174194,0.06900618,0.4357915,675.6991,14.67013,22.10283,1.142547,96.70402,22.62414,238.9979,81.0021,0.6774588,0.4412211,11.06942,47.83196,18000,0,0,0,0,0,0,0,0,0,0,94,0.1922489,10.45399,0.004131275,-0.02261579,0.2023646,-1.057151,13.56482,19.94143,-0.664,1.037,-27.54,-2.554,7999,7999,-1.701,-24.98,-26.68,768.3,"NAN",7.368623,6.046567,5.191319,7.827399,0.03369904,0.007936478,1.040652,0.9827785,17.80495,18.04893,22.34266,19.7539,21.82175,20.1196,42.78446,42.02417,1.909529,95.80661,78.87405
