"TOA5","S6_bogwell","CR1000X","4724","CR1000X.Std.03.02","CPU:2021.05.04_S6BogWell.cr1x","51836","S6BWMet"
"TIMESTAMP","RECORD","AirT","RH","PAR_Den","BP","BPnorm","Batt_volt"
"TS","RN","Deg C","%","µmol/s/m²","kPa","kPa","V DC"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-04 12:30:00",0,"NAN",0,0,0,0,14.29
"2021-05-04 13:00:00",1,"NAN",0,0,0,0,14.2
"2021-05-04 13:30:00",2,"NAN",0,0,0,0,13.96
"2021-05-04 14:00:00",3,"NAN",0,0,0,0,14.15
"2021-05-04 14:30:00",4,"NAN",0,0,0,0,13.82
"2021-05-04 15:00:00",5,"NAN",0,0,0,0,13.81
"2021-05-04 15:30:00",6,"NAN",0,0,0,0,13.74
"2021-05-04 16:00:00",7,"NAN",0,0,0,0,13.93
"2021-05-04 16:30:00",8,"NAN",0,0,0,0,13.66
"2021-05-04 17:00:00",9,"NAN",0,0,0,0,13.57
"2021-05-04 17:30:00",10,"NAN",0,0,0,0,13.44
"2021-05-04 18:00:00",11,"NAN",0,0,0,0,13.34
"2021-05-04 18:30:00",12,"NAN",0,0,0,0,13.26
"2021-05-04 19:00:00",13,"NAN",0,0,0,0,13.18
"2021-05-04 19:30:00",14,"NAN",0,0,0,0,13.13
"2021-05-04 20:00:00",15,"NAN",0,0,0,0,13.1
"2021-05-04 20:30:00",16,"NAN",0,0,0,0,13.08
"2021-05-04 21:00:00",17,"NAN",0,0,0,0,13.06
"2021-05-04 21:30:00",18,"NAN",0,0,0,0,13.05
"2021-05-04 22:00:00",19,"NAN",0,0,0,0,13.04
"2021-05-04 22:30:00",20,"NAN",0,0,0,0,13.03
"2021-05-04 23:00:00",21,"NAN",0,0,0,0,13.02
"2021-05-04 23:30:00",22,"NAN",0,0,0,0,13.01
"2021-05-05 00:00:00",23,"NAN",0,0,0,0,13
"2021-05-05 00:30:00",24,"NAN",0,0,0,0,12.99
"2021-05-05 01:00:00",25,"NAN",0,0,0,0,12.98
"2021-05-05 01:30:00",26,"NAN",0,0,0,0,12.97
"2021-05-05 02:00:00",27,"NAN",0,0,0,0,12.96
"2021-05-05 02:30:00",28,"NAN",0,0,0,0,12.95
"2021-05-05 03:00:00",29,"NAN",0,0,0,0,12.94
"2021-05-05 03:30:00",30,"NAN",0,0,0,0,12.93
"2021-05-05 04:00:00",31,"NAN",0,0,0,0,12.92
"2021-05-05 04:30:00",32,"NAN",0,0,0,0,12.91
"2021-05-05 05:00:00",33,"NAN",0,0,0,0,12.9
"2021-05-05 05:30:00",34,"NAN",0,0,0,0,12.89
"2021-05-05 06:00:00",35,"NAN",0,0,0,0,12.89
"2021-05-05 06:30:00",36,"NAN",0,0,0,0,12.9
"2021-05-05 07:00:00",37,"NAN",0,0,0,0,12.93
"2021-05-05 07:30:00",38,"NAN",0,0,0,0,12.97
"2021-05-05 08:00:00",39,"NAN",0,0,0,0,13.15
"2021-05-05 08:30:00",40,"NAN",0,0,0,0,14.66
"2021-05-05 09:00:00",41,"NAN",0,0,0,0,13.87
"2021-05-05 09:30:00",42,"NAN",0,0,0,0,14.57
"2021-05-05 10:00:00",43,"NAN",0,0,0,0,14.51
"2021-05-05 10:30:00",44,"NAN",0,0,0,0,14.48
"2021-05-05 11:00:00",45,"NAN",0,0,0,0,14.44
"2021-05-05 11:30:00",46,"NAN",0,0,0,0,14.41
"2021-05-05 12:00:00",47,"NAN",0,0,0,0,14.41
"2021-05-05 12:30:00",48,"NAN",0,0,0,0,14.01
"2021-05-05 13:00:00",49,"NAN",0,0,0,0,13.99
"2021-05-05 13:30:00",50,"NAN",0,0,0,0,13.96
"2021-05-05 14:00:00",51,"NAN",0,0,0,0,13.99
"2021-05-05 14:30:00",52,"NAN",0,0,0,0,13.74
"2021-05-05 15:00:00",53,"NAN",0,0,0,0,13.96
"2021-05-05 15:30:00",54,"NAN",0,0,0,0,13.84
