"TOA5","S3_fenwell","CR1000X","4723","CR1000X.Std.03.02","CPU:2019.11_S3BogWell.cr1x","39341","S3FW_Daily"
TIMESTAMP,RECORD,MinWTElev,MaxWTElev,MinWTElev_m,MaxWTElev_m,MinAirT,MaxAirT,PAR_Tot_Tot
TS,RN,ft ASL,ft ASL,m ASL,m ASL,Deg C,Deg C,mmol/mÂ²
,,Smp,Smp,Smp,Smp,Smp,Smp,Tot
2020-09-07 23:59:55,28,1357.103,1357.112,413.65,413.65,NAN,NAN,0
2020-09-08 23:59:55,29,1357.103,1357.106,413.65,413.65,NAN,NAN,0
2020-09-09 23:59:55,30,1357.103,1357.106,413.65,413.65,NAN,NAN,0
2020-09-10 23:59:55,31,1357.1,1357.106,413.64,413.65,NAN,NAN,0
2020-09-11 23:59:55,32,1357.097,1357.103,413.64,413.65,NAN,NAN,0
2020-09-12 23:59:55,33,1357.103,1357.133,413.65,413.65,NAN,NAN,0
2020-09-13 23:59:55,34,1357.13,1357.133,413.65,413.65,NAN,NAN,0
2020-09-14 23:59:55,35,1357.127,1357.133,413.65,413.65,NAN,NAN,0
2020-09-15 23:59:55,36,1357.124,1357.13,413.65,413.65,NAN,NAN,0
2020-09-16 23:59:55,37,1357.112,1357.124,413.65,413.65,NAN,NAN,0
2020-09-17 23:59:55,38,1357.109,1357.115,413.65,413.65,NAN,NAN,0
2020-09-18 23:59:55,39,1357.106,1357.112,413.65,413.65,NAN,NAN,0
2020-09-19 23:59:55,40,1357.103,1357.109,413.65,413.65,NAN,NAN,0
2020-09-20 23:59:55,41,1357.097,1357.106,413.64,413.65,NAN,NAN,0
2020-09-21 23:59:55,42,1357.09,1357.097,413.64,413.64,NAN,NAN,0
2020-09-22 23:59:55,43,1357.087,1357.093,413.64,413.64,NAN,NAN,0
2020-09-23 23:59:55,44,1357.087,1357.093,413.64,413.64,NAN,NAN,0
2020-09-24 23:59:55,45,1357.087,1357.09,413.64,413.64,NAN,NAN,0
2020-09-25 23:59:55,46,1357.09,1357.189,413.64,413.67,NAN,NAN,0
2020-09-26 23:59:55,47,1357.155,1357.161,413.66,413.66,NAN,NAN,0
2020-09-27 23:59:55,48,1357.161,1357.167,413.66,413.66,NAN,NAN,0
2020-09-28 23:59:55,49,1357.164,1357.167,413.66,413.66,NAN,NAN,0
2020-09-29 23:59:55,50,1357.164,1357.17,413.66,413.67,NAN,NAN,0
2020-09-30 23:59:55,51,1357.164,1357.183,413.66,413.67,NAN,NAN,0
2020-10-01 23:59:55,52,1357.173,1357.18,413.67,413.67,NAN,NAN,0
2020-10-02 23:59:55,53,1357.17,1357.173,413.67,413.67,NAN,NAN,0
2020-10-03 23:59:55,54,1357.161,1357.17,413.66,413.67,NAN,NAN,0
2020-10-04 23:59:55,55,1357.158,1357.161,413.66,413.66,NAN,NAN,0
2020-10-05 23:59:55,56,1357.149,1357.158,413.66,413.66,NAN,NAN,0
2020-10-06 23:59:55,57,1357.14,1357.149,413.66,413.66,NAN,NAN,0
2020-10-07 23:59:55,58,1357.133,1357.14,413.65,413.66,NAN,NAN,0
2020-10-08 23:59:55,59,1357.13,1357.133,413.65,413.65,NAN,NAN,0
2020-10-09 23:59:55,60,1357.124,1357.13,413.65,413.65,NAN,NAN,0
2020-10-10 23:59:55,61,1357.121,1357.124,413.65,413.65,NAN,NAN,0
2020-10-11 23:59:55,62,1357.118,1357.189,413.65,413.67,NAN,NAN,0
2020-10-12 23:59:55,63,1357.183,1357.241,413.67,413.69,NAN,NAN,0
