"TOA5","S6_Weir","CR1000X","4737","CR1000X.Std.03.02","CPU:2019.08_S6Weir.CR1x","42030","S6ShelterT"
TIMESTAMP,RECORD,Batt_Volt,GageHouseT,WeirCoverT
TS,RN,V DC,Deg C,Deg C
,,Smp,Smp,Smp
2021-05-08 21:30:00,114,12.75,7.1,7.1
2021-05-08 22:00:00,115,12.74,6.2,6.2
2021-05-08 22:30:00,116,12.74,5.4,5.4
2021-05-08 23:00:00,117,12.73,4.5,4.5
2021-05-08 23:30:00,118,12.73,4.1,4.1
2021-05-09 00:00:00,119,12.72,3.7,3.7
2021-05-09 00:30:00,120,12.72,3.2,3.2
2021-05-09 01:00:00,121,12.71,2.8,2.8
2021-05-09 01:30:00,122,12.71,2.3,2.3
2021-05-09 02:00:00,123,12.71,1.7,1.7
2021-05-09 02:30:00,124,12.7,1.2,1.2
2021-05-09 03:00:00,125,12.7,0.9,0.9
2021-05-09 03:30:00,126,12.69,0.6,0.6
2021-05-09 04:00:00,127,12.69,0.5,0.5
2021-05-09 04:30:00,128,12.69,0.3,0.3
2021-05-09 05:00:00,129,12.68,0,0
2021-05-09 05:30:00,130,12.68,-0.2,-0.2
2021-05-09 06:00:00,131,12.68,-0.1,-0.1
2021-05-09 06:30:00,132,12.69,0.4,0.4
2021-05-09 07:00:00,133,12.69,1.3,1.3
2021-05-09 07:30:00,134,12.7,2.5,2.5
2021-05-09 08:00:00,135,12.71,3.7,3.7
2021-05-09 08:30:00,136,12.72,5.1,5.1
2021-05-09 09:00:00,137,12.79,6.5,6.5
2021-05-09 09:30:00,138,13.02,7.8,7.8
2021-05-09 10:00:00,139,13.1,9.5,9.5
2021-05-09 10:30:00,140,12.93,10.9,10.9
2021-05-09 11:00:00,141,13.04,12.2,12.2
2021-05-09 11:30:00,142,12.97,12.6,12.6
2021-05-09 12:00:00,143,14.39,12.8,12.8
2021-05-09 12:30:00,144,12.97,12.3,12.3
2021-05-09 13:00:00,145,12.97,11.6,11.6
2021-05-09 13:30:00,146,12.93,11.7,11.7
2021-05-09 14:00:00,147,12.95,11.3,11.3
2021-05-09 14:30:00,148,12.9,10.8,10.8
2021-05-09 15:00:00,149,12.89,10.7,10.7
2021-05-09 15:30:00,150,12.88,10.5,10.5
2021-05-09 16:00:00,151,12.87,9.9,9.9
2021-05-09 16:30:00,152,12.87,9.9,9.9
2021-05-09 17:00:00,153,12.84,9.5,9.5
2021-05-09 17:30:00,154,12.82,9.1,9.1
2021-05-09 18:00:00,155,12.81,8.5,8.5
2021-05-09 18:30:00,156,12.79,8,8
2021-05-09 19:00:00,157,12.78,7.4,7.4
2021-05-09 19:30:00,158,12.76,6.8,6.8
2021-05-09 20:00:00,159,12.75,6.2,6.2
2021-05-09 20:30:00,160,12.75,5.7,5.7
2021-05-09 21:00:00,161,12.74,5.4,5.4
2021-05-09 21:30:00,162,12.73,5.1,5.1
2021-05-09 22:00:00,163,12.73,4.9,4.9
2021-05-09 22:30:00,164,12.72,4.6,4.6
2021-05-09 23:00:00,165,12.72,4.5,4.5
2021-05-09 23:30:00,166,12.71,4.3,4.3
2021-05-10 00:00:00,167,12.71,3.8,3.8
2021-05-10 00:30:00,168,12.7,3.3,3.3
2021-05-10 01:00:00,169,12.7,2.7,2.7
2021-05-10 01:30:00,170,12.69,2.4,2.4
2021-05-10 02:00:00,171,12.69,2.3,2.3
2021-05-10 02:30:00,172,12.69,1.6,1.6
2021-05-10 03:00:00,173,12.68,0.9,0.9
2021-05-10 03:30:00,174,12.68,0.3,0.3
2021-05-10 04:00:00,175,12.67,-0.1,-0.1
2021-05-10 04:30:00,176,12.67,-0.3,-0.3
2021-05-10 05:00:00,177,12.67,-0.6,-0.6
2021-05-10 05:30:00,178,12.67,-0.5,-0.5
2021-05-10 06:00:00,179,12.67,0.2,0.2
2021-05-10 06:30:00,180,12.68,1.1,1.1
2021-05-10 07:00:00,181,12.7,2.3,2.3
2021-05-10 07:30:00,182,12.71,3.6,3.6
2021-05-10 08:00:00,183,12.71,4.3,4.3
2021-05-10 08:30:00,184,12.73,5.2,5.2
2021-05-10 09:00:00,185,12.81,5.9,5.9
2021-05-10 09:30:00,186,12.82,6.6,6.6
2021-05-10 10:00:00,187,12.86,7.2,7.2
2021-05-10 10:30:00,188,13.13,8.1,8.1
2021-05-10 11:00:00,189,12.9,8.9,8.9
2021-05-10 11:30:00,190,12.95,10.1,10.1
2021-05-10 12:00:00,191,13,12.9,12.9
2021-05-10 12:30:00,192,13.03,12.1,12.1
