"TOA5","BLF_EC","CR5000","1982","CR5000.Std.07","CPU:BOG_LAKE_EC.20210218.CR5","8908","li7700_diag"
"TIMESTAMP","RECORD","ch4_d_Avg","ch4_um_mol_Avg","press_7700_Avg","ta_7700_Avg","status_7700_Avg","rssi_Avg","heater_Avg","ref_ss_Avg","drop_rate_Avg","lct_act_Avg","lct_set_Avg","blkcool_act_Avg","blkcool_set_Avg","optics_rh_Avg","ch4_d_Max","ch4_um_mol_Max","press_7700_Max","ta_7700_Max","status_7700_Max","rssi_Max","heater_Max","ref_ss_Max","drop_rate_Max","lct_act_Max","lct_set_Max","blkcool_act_Max","blkcool_set_Max","optics_rh_Max","ch4_d_Min","ch4_um_mol_Min","press_7700_Min","ta_7700_Min","status_7700_Min","rssi_Min","heater_Min","ref_ss_Min","drop_rate_Min","lct_act_Min","lct_set_Min","blkcool_act_Min","blkcool_set_Min","optics_rh_Min"
"TS","RN","mmol/m^3","umol/mol","kPa","oC","","","","%","%","oC","oC","oC","oC","%","mmol/m^3","umol/mol","kPa","oC","","","","%","%","oC","oC","oC","oC","%","mmol/m^3","umol/mol","kPa","oC","","","","%","%","oC","oC","oC","oC","%"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min","Min"
"2022-07-14 17:00:00",5877,0.07731758,1.88058,95.9865,22.52529,23.192,78.70856,38.97038,75.14273,0,28.75443,29.45596,29.32241,30,3.317449,0.09263316,2.256981,96.00143,23.65315,16399,79.16123,96.0008,75.172,0,28.7688,29.457,29.3339,30,3.69962,0.0743184,1.811675,95.96793,21.41014,15,13.02914,0,75.1096,0,28.7415,29.4551,29.313,30,2.89115
"2022-07-14 17:30:00",5878,0.07758845,1.881338,95.9705,21.84019,16.82044,78.58746,39.2469,75.10663,0,28.75445,29.4559,29.32245,30,3.318105,0.08373041,2.028448,95.99997,22.37658,16399,79.12327,95.99722,75.14309,0,28.7681,29.4576,29.3353,30,3.72792,0.07458643,1.807626,95.92931,21.37389,15,10.41336,0,75.0831,0,28.7415,29.4547,29.313,30,2.85669
"2022-07-14 18:00:00",5879,0.07833699,1.898732,95.91607,21.74371,16.82044,78.83665,39.21894,75.08761,0,28.75464,29.45617,29.32252,30,3.333581,0.08599991,2.086472,95.93399,22.47118,16399,79.05746,95.92675,75.1074,0,28.7695,29.4576,29.3353,30,3.7513,0.07499267,1.820774,95.90356,20.98301,15,44.51627,0,75.063,0,28.7415,29.4551,29.313,30,2.89853
"2022-07-14 18:30:00",5880,0.07990312,1.930196,95.91164,21.00553,29.56355,78.48932,39.43063,75.06348,0,28.75467,29.45611,29.32249,30,3.345339,0.08943198,2.15569,95.92108,21.60909,16399,79.0162,95.9191,75.08999,0,28.771,29.4576,29.3353,30,3.71315,0.07578387,1.830121,95.89585,20.37309,15,10.50372,0,75.0344,0,28.7415,29.4545,29.313,30,2.9699
"2022-07-14 19:00:00",5881,0.08049608,1.93953,95.89513,20.44039,36.84533,78.19374,39.61525,75.03004,0,28.75348,29.45504,29.32241,30,3.344594,0.09465271,2.277467,95.90039,21.07874,16399,78.89394,95.8997,75.0605,0,28.7688,29.4563,29.3353,30,3.74392,0.07529992,1.815228,95.89034,19.88017,15,8.172027,0,75.0005,0,28.7415,29.4537,29.313,30,2.99205
"2022-07-14 19:30:00",5882,0.07995035,1.927144,95.89567,20.52763,117.4498,78.82841,61.52789,75.04041,0,28.75252,29.45416,29.32255,30,3.341811,0.09437594,2.265373,95.90822,21.13555,143,78.9965,95.90852,75.1376,0,28.7724,29.4555,29.338,30,3.72915,0.07659693,1.848219,95.87152,19.55614,15,51.24486,0,74.9556,0,28.7357,29.4523,29.3048,30,2.8813
"2022-07-14 20:00:00",5883,0.07923357,1.909129,95.84329,20.43119,121.2827,78.88759,71.49391,75.05547,0,28.75221,29.45374,29.32251,30,3.339993,0.1012653,2.440376,95.87732,20.9367,143,78.99026,95.8765,75.1519,0,28.771,29.4555,29.338,30,3.723,0.07656555,1.845469,95.83035,19.46349,15,68.77296,0,74.982,0,28.7357,29.4522,29.3075,30,2.85792
"2022-07-14 20:30:00",5884,0.0793661,1.909529,95.80661,20.10376,126.8436,78.87405,66.98923,75.04479,0,28.75201,29.45352,29.3225,30,3.343269,0.08818908,2.118692,95.8454,20.8115,143,78.99751,95.8457,75.1403,0,28.771,29.4544,29.342,30,3.72177,0.07666339,1.840673,95.7881,19.22499,15,72.46016,0,74.966,0,28.7343,29.4522,29.3075,30,2.93914
"2022-07-14 21:00:00",5885,0.07942692,1.909066,95.82012,19.88599,131.1529,78.8736,77.19276,75.03254,0,28.75169,29.45319,29.3226,30,3.32095,0.08698016,2.084762,95.87526,20.45075,143,78.95857,95.87063,75.1392,0,28.7681,29.4544,29.3353,30,3.73899,0.07717601,1.856004,95.7916,19.09691,15,76.87901,0,74.96189,0,28.7343,29.452,29.3062,30,2.87884
"2022-07-14 21:30:00",5886,0.08033571,1.92582,95.90133,19.32037,102.9502,78.61369,67.92988,75.02264,0,28.75169,29.45325,29.32247,30,3.338886,0.09290835,2.2223,95.92353,20.25482,143,78.93355,95.92365,75.138,0,28.7688,29.4544,29.338,30,3.73899,0.07654207,1.831704,95.85815,18.3817,15,61.3953,0,74.9456,0,28.7357,29.4522,29.3048,30,2.90838
