"TOA5","S4_bogwell","CR1000X","4732","CR1000X.Std.03.02","CPU:2021.05.04_S4BogWell.cr1x","12388","S4BWMet"
TIMESTAMP,RECORD,AirT,RH,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp
2020-10-17 19:30:00,107,NAN,0,0,0,0,
2020-10-17 20:00:00,108,NAN,0,0,0,0,
2020-10-17 20:30:00,109,NAN,0,0,0,0,
2020-10-17 21:00:00,110,NAN,0,0,0,0,
2020-10-17 21:30:00,111,NAN,0,0,0,0,
2020-10-17 22:00:00,112,NAN,0,0,0,0,
2020-10-17 22:30:00,113,NAN,0,0,0,0,
2020-10-17 23:00:00,114,NAN,0,0,0,0,
2020-10-17 23:30:00,115,NAN,0,0,0,0,
2020-10-18 00:00:00,116,NAN,0,0,0,0,
2020-10-18 00:30:00,117,NAN,0,0,0,0,
2020-10-18 01:00:00,118,NAN,0,0,0,0,
2020-10-18 01:30:00,119,NAN,0,0,0,0,
2020-10-18 02:00:00,120,NAN,0,0,0,0,
2020-10-18 02:30:00,121,NAN,0,0,0,0,
2020-10-18 03:00:00,122,NAN,0,0,0,0,
2020-10-18 03:30:00,123,NAN,0,0,0,0,
2020-10-18 04:00:00,124,NAN,0,0,0,0,
2020-10-18 04:30:00,125,NAN,0,0,0,0,
2020-10-18 05:00:00,126,NAN,0,0,0,0,
2020-10-18 05:30:00,127,NAN,0,0,0,0,
2020-10-18 06:00:00,128,NAN,0,0,0,0,
2020-10-18 06:30:00,129,NAN,0,0,0,0,
2020-10-18 07:00:00,130,NAN,0,0,0,0,
2020-10-18 07:30:00,131,NAN,0,0,0,0,
2020-10-18 08:00:00,132,NAN,0,0,0,0,
2020-10-18 08:30:00,133,NAN,0,0,0,0,
2020-10-18 09:00:00,134,NAN,0,0,0,0,
2020-10-18 09:30:00,135,NAN,0,0,0,0,
2020-10-18 10:00:00,136,NAN,0,0,0,0,
2020-10-18 10:30:00,137,NAN,0,0,0,0,
2020-10-18 11:00:00,138,NAN,0,0,0,0,
2020-10-18 11:30:00,139,NAN,0,0,0,0,
2020-10-18 12:00:00,140,NAN,0,0,0,0,
2020-10-18 12:30:00,141,NAN,0,0,0,0,
2020-10-18 13:00:00,142,NAN,0,0,0,0,
2020-10-18 13:30:00,143,NAN,0,0,0,0,
2020-10-18 14:00:00,144,NAN,0,0,0,0,
2020-10-18 14:30:00,145,NAN,0,0,0,0,
2020-10-18 15:00:00,146,NAN,0,0,0,0,
2020-10-18 15:30:00,147,NAN,0,0,0,0,
2020-10-18 16:00:00,148,NAN,0,0,0,0,
2020-10-18 16:30:00,149,NAN,0,0,0,0,
2020-10-18 17:00:00,150,NAN,0,0,0,0,
2020-10-18 17:30:00,151,NAN,0,0,0,0,
2020-10-18 18:00:00,152,NAN,0,0,0,0,
2020-10-18 18:30:00,153,NAN,0,0,0,0,
2020-10-18 19:00:00,154,NAN,0,0,0,0,
2020-10-18 19:30:00,155,NAN,0,0,0,0,
2020-10-18 20:00:00,156,NAN,0,0,0,0,
2020-10-18 20:30:00,157,NAN,0,0,0,0,
2020-10-18 21:00:00,158,NAN,0,0,0,0,
2020-10-18 21:30:00,159,NAN,0,0,0,0,
2020-10-18 22:00:00,160,NAN,0,0,0,0,
2020-10-18 22:30:00,161,NAN,0,0,0,0,
2020-10-18 23:00:00,162,NAN,0,0,0,0,
2020-10-18 23:30:00,163,NAN,0,0,0,0,
2020-10-19 00:00:00,164,NAN,0,0,0,0,
2020-10-19 00:30:00,165,NAN,0,0,0,0,
2020-10-19 01:00:00,166,NAN,0,0,0,0,
2020-10-19 01:30:00,167,NAN,0,0,0,0,
2020-10-19 02:00:00,168,NAN,0,0,0,0,
2020-10-19 02:30:00,169,NAN,0,0,0,0,
2020-10-19 03:00:00,170,NAN,0,0,0,0,
2020-10-19 03:30:00,171,NAN,0,0,0,0,
2020-10-19 04:00:00,172,NAN,0,0,0,0,
2020-10-19 04:30:00,173,NAN,0,0,0,0,
2020-10-19 05:00:00,174,NAN,0,0,0,0,
2020-10-19 05:30:00,175,NAN,0,0,0,0,
2020-10-19 06:00:00,176,NAN,0,0,0,0,
2020-10-19 06:30:00,177,NAN,0,0,0,0,
2020-10-19 07:00:00,178,NAN,0,0,0,0,
2020-10-19 07:30:00,179,NAN,0,0,0,0,
2020-10-19 08:00:00,180,NAN,0,0,0,0,
2020-10-19 08:30:00,181,NAN,0,0,0,0,
2020-10-19 09:00:00,182,NAN,0,0,0,0,
2020-10-19 09:30:00,183,NAN,0,0,0,0,
2020-10-19 10:00:00,184,NAN,0,0,0,0,
2020-10-19 10:30:00,185,NAN,0,0,0,0,
2020-10-19 11:00:00,186,NAN,0,0,0,0,
2020-10-19 11:30:00,187,NAN,0,0,0,0,
2020-10-19 12:00:00,188,NAN,0,0,0,0,
2020-10-19 12:30:00,189,NAN,0,0,0,0,
2020-10-19 13:00:00,190,NAN,0,0,0,0,
2020-10-19 13:30:00,191,NAN,0,0,0,0,
2020-10-19 14:00:00,192,NAN,0,0,0,0,
2020-10-19 14:30:00,193,NAN,0,0,0,0,
2020-10-19 15:00:00,194,NAN,0,0,0,0,
2020-10-19 15:30:00,195,NAN,0,0,0,0,
2020-10-19 16:00:00,196,NAN,0,0,0,0,
2020-10-19 16:30:00,197,NAN,0,0,0,0,
2020-10-19 17:00:00,198,NAN,0,0,0,0,
2020-10-19 17:30:00,199,NAN,0,0,0,0,
2020-10-19 18:00:00,200,NAN,0,0,0,0,
2020-10-19 18:30:00,201,NAN,0,0,0,0,
2020-10-19 19:00:00,202,NAN,0,0,0,0,
2020-10-19 19:30:00,203,NAN,0,0,0,0,
2020-10-19 20:00:00,204,NAN,0,0,0,0,
2020-10-19 20:30:00,205,NAN,0,0,0,0,
2020-10-19 21:00:00,206,NAN,0,0,0,0,
2020-10-19 21:30:00,207,NAN,0,0,0,0,
2020-10-19 22:00:00,208,NAN,0,0,0,0,
2020-10-19 22:30:00,209,NAN,0,0,0,0,
2020-10-19 23:00:00,210,NAN,0,0,0,0,
2020-10-19 23:30:00,211,NAN,0,0,0,0,
2020-10-20 00:00:00,212,NAN,0,0,0,0,
2020-10-20 00:30:00,213,NAN,0,0,0,0,
2020-10-20 01:00:00,214,NAN,0,0,0,0,
2020-10-20 01:30:00,215,NAN,0,0,0,0,
2020-10-20 02:00:00,216,NAN,0,0,0,0,
2020-10-20 02:30:00,217,NAN,0,0,0,0,
2020-10-20 03:00:00,218,NAN,0,0,0,0,
2020-10-20 03:30:00,219,NAN,0,0,0,0,
2020-10-20 04:00:00,220,NAN,0,0,0,0,
2020-10-20 04:30:00,221,NAN,0,0,0,0,
2020-10-20 05:00:00,222,NAN,0,0,0,0,
2020-10-20 05:30:00,223,NAN,0,0,0,0,
2020-10-20 06:00:00,224,NAN,0,0,0,0,
2020-10-20 06:30:00,225,NAN,0,0,0,0,
2020-10-20 07:00:00,226,NAN,0,0,0,0,
2020-10-20 07:30:00,227,NAN,0,0,0,0,
2020-10-20 08:00:00,228,NAN,0,0,0,0,
2020-10-20 08:30:00,229,NAN,0,0,0,0,
2020-10-20 09:00:00,230,NAN,0,0,0,0,
2020-10-20 09:30:00,231,NAN,0,0,0,0,
2020-10-20 10:00:00,232,NAN,0,0,0,0,
2020-10-20 10:30:00,233,NAN,0,0,0,0,
2020-10-20 11:00:00,234,NAN,0,0,0,0,
2020-10-20 11:30:00,235,NAN,0,0,0,0,
2020-10-20 12:00:00,236,NAN,0,0,0,0,
2020-10-20 12:30:00,237,NAN,0,0,0,0,
2020-10-20 13:00:00,238,NAN,0,0,0,0,
2020-10-20 13:30:00,239,NAN,0,0,0,0,
2020-10-20 14:00:00,240,NAN,0,0,0,0,
2020-10-20 14:30:00,241,NAN,0,0,0,0,
2020-10-20 15:00:00,242,NAN,0,0,0,0,
2020-10-20 15:30:00,243,NAN,0,0,0,0,
2020-10-20 16:00:00,244,NAN,0,0,0,0,
2020-10-20 16:30:00,245,NAN,0,0,0,0,
2020-10-20 17:00:00,246,NAN,0,0,0,0,
2020-10-20 17:30:00,247,NAN,0,0,0,0,
2020-10-20 18:00:00,248,NAN,0,0,0,0,
2020-10-20 18:30:00,249,NAN,0,0,0,0,
2020-10-20 19:00:00,250,NAN,0,0,0,0,
2020-10-20 19:30:00,251,NAN,0,0,0,0,
2020-10-20 20:00:00,252,NAN,0,0,0,0,
2020-10-20 20:30:00,253,NAN,0,0,0,0,
2020-10-20 21:00:00,254,NAN,0,0,0,0,
2020-10-20 21:30:00,255,NAN,0,0,0,0,
2020-10-20 22:00:00,256,NAN,0,0,0,0,
2020-10-20 22:30:00,257,NAN,0,0,0,0,
2020-10-20 23:00:00,258,NAN,0,0,0,0,
2020-10-20 23:30:00,259,NAN,0,0,0,0,
2020-10-21 00:00:00,260,NAN,0,0,0,0,
2020-10-21 00:30:00,261,NAN,0,0,0,0,
2020-10-21 01:00:00,262,NAN,0,0,0,0,
2020-10-21 01:30:00,263,NAN,0,0,0,0,
2020-10-21 02:00:00,264,NAN,0,0,0,0,
2020-10-21 02:30:00,265,NAN,0,0,0,0,
2020-10-21 03:00:00,266,NAN,0,0,0,0,
2020-10-21 03:30:00,267,NAN,0,0,0,0,
2020-10-21 04:00:00,268,NAN,0,0,0,0,
2020-10-21 04:30:00,269,NAN,0,0,0,0,
2020-10-21 05:00:00,270,NAN,0,0,0,0,
2020-10-21 05:30:00,271,NAN,0,0,0,0,
2020-10-21 06:00:00,272,NAN,0,0,0,0,
2020-10-21 06:30:00,273,NAN,0,0,0,0,
2020-10-21 07:00:00,274,NAN,0,0,0,0,
2020-10-21 07:30:00,275,NAN,0,0,0,0,
2020-10-21 08:00:00,276,NAN,0,0,0,0,
2020-10-21 08:30:00,277,NAN,0,0,0,0,
2020-10-21 09:00:00,278,NAN,0,0,0,0,
2020-10-21 09:30:00,279,NAN,0,0,0,0,
2020-10-21 10:00:00,280,NAN,0,0,0,0,
2020-10-21 10:30:00,281,NAN,0,0,0,0,
2020-10-21 11:00:00,282,NAN,0,0,0,0,
2020-10-21 11:30:00,283,NAN,0,0,0,0,
2020-10-21 12:00:00,284,NAN,0,0,0,0,
2020-10-21 12:30:00,285,NAN,0,0,0,0,
2020-10-21 13:00:00,286,NAN,0,0,0,0,
2020-10-21 13:30:00,287,NAN,0,0,0,0,
2020-10-21 14:00:00,288,NAN,0,0,0,0,
2020-10-21 14:30:00,289,NAN,0,0,0,0,
2020-10-21 15:00:00,290,NAN,0,0,0,0,
2020-10-21 15:30:00,291,NAN,0,0,0,0,
2020-10-21 16:00:00,292,NAN,0,0,0,0,
2020-10-21 16:30:00,293,NAN,0,0,0,0,
2020-10-21 17:00:00,294,NAN,0,0,0,0,
2020-10-21 17:30:00,295,NAN,0,0,0,0,
2020-10-21 18:00:00,296,NAN,0,0,0,0,
2020-10-21 18:30:00,297,NAN,0,0,0,0,
2020-10-21 19:00:00,298,NAN,0,0,0,0,
2020-10-21 19:30:00,299,NAN,0,0,0,0,
2020-10-21 20:00:00,300,NAN,0,0,0,0,
2020-10-21 20:30:00,301,NAN,0,0,0,0,
2020-10-21 21:00:00,302,NAN,0,0,0,0,
2020-10-21 21:30:00,303,NAN,0,0,0,0,
2020-10-21 22:00:00,304,NAN,0,0,0,0,
2020-10-21 22:30:00,305,NAN,0,0,0,0,
2020-10-21 23:00:00,306,NAN,0,0,0,0,
2020-10-21 23:30:00,307,NAN,0,0,0,0,
2020-10-22 00:00:00,308,NAN,0,0,0,0,
2020-10-22 00:30:00,309,NAN,0,0,0,0,
2020-10-22 01:00:00,310,NAN,0,0,0,0,
2020-10-22 01:30:00,311,NAN,0,0,0,0,
2020-10-22 02:00:00,312,NAN,0,0,0,0,
2020-10-22 02:30:00,313,NAN,0,0,0,0,
2020-10-22 03:00:00,314,NAN,0,0,0,0,
2020-10-22 03:30:00,315,NAN,0,0,0,0,
2020-10-22 04:00:00,316,NAN,0,0,0,0,
2020-10-22 04:30:00,317,NAN,0,0,0,0,
2020-10-22 05:00:00,318,NAN,0,0,0,0,
2020-10-22 05:30:00,319,NAN,0,0,0,0,
2020-10-22 06:00:00,320,NAN,0,0,0,0,
2020-10-22 06:30:00,321,NAN,0,0,0,0,
2020-10-22 07:00:00,322,NAN,0,0,0,0,
2020-10-22 07:30:00,323,NAN,0,0,0,0,
2020-10-22 08:00:00,324,NAN,0,0,0,0,
2020-10-22 08:30:00,325,NAN,0,0,0,0,
2020-10-22 09:00:00,326,NAN,0,0,0,0,
2020-10-22 09:30:00,327,NAN,0,0,0,0,
2020-10-22 10:00:00,328,NAN,0,0,0,0,
2020-10-22 10:30:00,329,NAN,0,0,0,0,
2020-10-22 11:00:00,330,NAN,0,0,0,0,
2020-10-22 11:30:00,331,NAN,0,0,0,0,
2020-10-22 12:00:00,332,NAN,0,0,0,0,
2020-10-22 12:30:00,333,NAN,0,0,0,0,
2020-10-22 13:00:00,334,NAN,0,0,0,0,
2020-10-22 13:30:00,335,NAN,0,0,0,0,
2020-10-22 14:00:00,336,NAN,0,0,0,0,
2020-10-22 14:30:00,337,NAN,0,0,0,0,
2020-10-22 15:00:00,338,NAN,0,0,0,0,
2020-10-22 15:30:00,339,NAN,0,0,0,0,
2020-10-22 16:00:00,340,NAN,0,0,0,0,
2020-10-22 16:30:00,341,NAN,0,0,0,0,
